run_id,created_at,dataset_name,column_name,null_count,null_percentage,unique_count,dtype_raw,inferred_dtype,numeric_ratio,mean,median,std,min,max
d45db187-bb24-4d95-9e22-3e0bdc1dd6e3,2026-07-28T07:14:57.827432+00:00,orders_batch_01.csv | Healthy,order_id,0,0.0,180,object,object,0.0,,,,,
d45db187-bb24-4d95-9e22-3e0bdc1dd6e3,2026-07-28T07:14:57.827432+00:00,orders_batch_01.csv | Healthy,customer_id,0,0.0,57,object,object,0.0,,,,,
d45db187-bb24-4d95-9e22-3e0bdc1dd6e3,2026-07-28T07:14:57.827432+00:00,orders_batch_01.csv | Healthy,order_amount,0,0.0,180,object,float64,1.0,2490.0366,2498.115,427.5712,1321.11,3724.08
d45db187-bb24-4d95-9e22-3e0bdc1dd6e3,2026-07-28T07:14:57.827432+00:00,orders_batch_01.csv | Healthy,quantity,0,0.0,7,object,float64,1.0,4.15,4.0,2.0208,1.0,7.0
d45db187-bb24-4d95-9e22-3e0bdc1dd6e3,2026-07-28T07:14:57.827432+00:00,orders_batch_01.csv | Healthy,region,0,0.0,4,object,object,0.0,,,,,
d45db187-bb24-4d95-9e22-3e0bdc1dd6e3,2026-07-28T07:14:57.827432+00:00,orders_batch_01.csv | Healthy,discount_code,74,41.11,3,object,object,0.0,,,,,
85a9c7ec-46d0-4f8e-abca-31077347dc4e,2026-07-30T07:14:57.827432+00:00,orders_batch_02.csv | Minor Missingness,order_id,0,0.0,180,object,object,0.0,,,,,
85a9c7ec-46d0-4f8e-abca-31077347dc4e,2026-07-30T07:14:57.827432+00:00,orders_batch_02.csv | Minor Missingness,customer_id,18,10.0,55,object,object,0.0,,,,,
85a9c7ec-46d0-4f8e-abca-31077347dc4e,2026-07-30T07:14:57.827432+00:00,orders_batch_02.csv | Minor Missingness,order_amount,0,0.0,180,object,float64,1.0,2490.0366,2498.115,427.5712,1321.11,3724.08
85a9c7ec-46d0-4f8e-abca-31077347dc4e,2026-07-30T07:14:57.827432+00:00,orders_batch_02.csv | Minor Missingness,quantity,0,0.0,7,object,float64,1.0,4.15,4.0,2.0208,1.0,7.0
85a9c7ec-46d0-4f8e-abca-31077347dc4e,2026-07-30T07:14:57.827432+00:00,orders_batch_02.csv | Minor Missingness,region,0,0.0,4,object,object,0.0,,,,,
85a9c7ec-46d0-4f8e-abca-31077347dc4e,2026-07-30T07:14:57.827432+00:00,orders_batch_02.csv | Minor Missingness,discount_code,74,41.11,3,object,object,0.0,,,,,
9dfc4dff-50ba-413a-b76d-eb7549b48230,2026-08-01T07:14:57.827432+00:00,orders_batch_03.csv | Null Spike,order_id,0,0.0,180,object,object,0.0,,,,,
9dfc4dff-50ba-413a-b76d-eb7549b48230,2026-08-01T07:14:57.827432+00:00,orders_batch_03.csv | Null Spike,customer_id,70,38.89,51,object,object,0.0,,,,,
9dfc4dff-50ba-413a-b76d-eb7549b48230,2026-08-01T07:14:57.827432+00:00,orders_batch_03.csv | Null Spike,order_amount,0,0.0,180,object,float64,1.0,2490.0366,2498.115,427.5712,1321.11,3724.08
9dfc4dff-50ba-413a-b76d-eb7549b48230,2026-08-01T07:14:57.827432+00:00,orders_batch_03.csv | Null Spike,quantity,0,0.0,7,object,float64,1.0,4.15,4.0,2.0208,1.0,7.0
9dfc4dff-50ba-413a-b76d-eb7549b48230,2026-08-01T07:14:57.827432+00:00,orders_batch_03.csv | Null Spike,region,0,0.0,4,object,object,0.0,,,,,
9dfc4dff-50ba-413a-b76d-eb7549b48230,2026-08-01T07:14:57.827432+00:00,orders_batch_03.csv | Null Spike,discount_code,74,41.11,3,object,object,0.0,,,,,
